symbol,volatility
AACBU,0.008476658320121214
AACG,0.06426662070436327
AACI,0.002081993541861777
AACIU,0.002180721755727352
AACIW,
AADR,0.010104112094849193
AAL,0.03298558771566417
AALG,0.06453582763295868
AAME,0.03729329468425866
AAOI,0.06570080442106321
AAON,0.032391544754251746
AAPB,0.029682475219002764
AAPD,0.014936482740706256
AAPG,0.04102080107293091
AAPL,0.014973677760990362
AAPU,0.029785191621841914
AARD,0.06797162636654114
AAVM,0.006785816272003124
AAXJ,0.008954758277644593
ABAT,0.05937346558338339
ABCB,0.014026593560016154
ABCL,0.055831308803191225
ABCS,0.009769556779518285
ABEO,0.03386662736810681
ABL,0.044792735592013674
ABLLL,0.018356418394184917
ABLLW,
ABLV,0.04851632646791781
ABLVW,
ABNB,0.016850120319698323
ABOS,0.04526044050234143
ABPWW,
ABSI,0.04502472362968017
ABTS,0.35759276291617526
ABUS,0.022997642166970724
ABVC,0.1106547658820171
ABVE,0.5015305353344958
ABVEW,
ABVX,0.7635314883994059
ACAD,0.04289237348632462
ACB,0.044545641820715146
ACDC,0.05564857756867929
ACET,0.07185719742253734
ACGL,0.015428136245462376
ACGLN,0.006633027103851863
ACGLO,0.005050047938227295
ACHC,0.030630964068247495
ACHV,0.07619829671609547
ACIC,0.02170981027728554
ACIU,0.04379413528311134
ACIW,0.021975636121572883
ACLO,0.0005499193396528806
ACLS,0.031072653197933182
ACLX,0.03415544262748924
ACMR,0.03228358862579647
ACNB,0.014110408706060664
ACNT,0.017090267174789776
ACOG,0.06442932891263697
ACON,0.028533310101006314
ACONW,
ACRS,0.040658402564849115
ACRV,0.040623166638827146
ACT,0.013243511696804627
ACTG,0.02870596844907966
ACTU,0.054754239423420434
ACVA,0.01941181585357644
ACWI,0.006658348756690881
ACWX,0.0070103547213605216
ACXP,0.2297752696804343
ADAG,0.04932690530759162
ADAP,0.09692793577494518
ADBE,0.015637478589580974
ADBG,0.031544601008816
ADD,0.09138504681827694
ADEA,0.021871882069620954
ADGM,0.05349611145464105
ADI,0.017903830328267208
ADIL,0.14957295383393857
ADMA,0.027774058221890992
ADN,0.08560775257370837
ADNWW,
ADP,0.010247603671123335
ADPT,0.05412268225918362
ADSE,0.04580336171977772
ADSEW,
ADSK,0.015729910644807124
ADTN,0.028046656520264376
ADTX,0.059887174970900604
ADUS,0.016422889906151296
ADV,0.07057980250821648
ADVB,0.07871082416328737
ADVM,0.06208023316037286
ADXN,0.05109053719114529
AEBI,0.06851299082406553
AEBIV,0.21944834386430268
AEHL,0.05216866720610896
AEHR,0.0572475299305133
AEI,0.07480338977261809
AEIS,0.016679333477549903
AEMD,0.0829792847558186
AENT,0.06467109569155455
AENTW,
AEP,0.010646347280088496
AERT,0.062026662161154565
AERTW,
AEYE,0.03884580701082092
AFBI,0.009902063431761154
AFCG,0.03896572868913546
AFJK,0.0028684354704687017
AFJKR,
AFJKU,0.0
AFMD,0.3931452059904828
AFRI,0.007319909631871756
AFRIW,
AFRM,0.04109810818075875
AFSC,0.01036640209537168
AFYA,0.017255836379278047
AGAE,0.12062783293636624
AGEM,0.008217187273127848
AGEN,0.08389675279969014
AGFY,0.08400700918475873
AGGA,0.0016027906145870219
AGH,0.2740545683898967
